Dates,USD/CAD,USD/INR ,USD/EUR,USD/NOK 
1/2/2001,1.49,46.70,1.05,8.73
1/3/2001,1.50,46.71,1.08,8.94
1/4/2001,1.50,46.73,1.05,8.72
1/5/2001,1.50,46.72,1.04,8.64
1/8/2001,1.49,46.68,1.06,8.76
1/9/2001,1.49,46.63,1.06,8.74
1/10/2001,1.50,46.62,1.07,8.75
1/11/2001,1.49,46.65,1.05,8.60
1/12/2001,1.50,46.55,1.05,8.64
1/15/2001,1.50,46.55,1.06,8.72
1/16/2001,1.51,46.50,1.06,8.72
1/17/2001,1.51,46.44,1.07,8.75
1/18/2001,1.51,46.41,1.06,8.72
1/19/2001,1.51,46.38,1.07,8.79
1/22/2001,1.50,46.37,1.07,8.77
1/23/2001,1.51,46.35,1.07,8.83
1/24/2001,1.51,46.38,1.08,8.91
1/25/2001,1.51,46.48,1.08,8.89
1/26/2001,1.50,46.48,1.08,8.88
1/29/2001,1.50,46.50,1.09,8.94
1/30/2001,1.50,46.43,1.08,8.84
1/31/2001,1.50,46.40,1.07,8.78
2/1/2001,1.49,46.40,1.07,8.75
2/2/2001,1.50,46.41,1.07,8.75
2/5/2001,1.51,46.40,1.07,8.73
2/6/2001,1.51,46.38,1.07,8.78
2/7/2001,1.51,46.43,1.08,8.81
2/8/2001,1.51,46.41,1.09,8.89
2/9/2001,1.51,46.48,1.08,8.87
2/12/2001,1.52,46.48,1.07,8.81
2/13/2001,1.52,46.56,1.09,8.93
2/14/2001,1.53,46.64,1.09,8.95
2/15/2001,1.53,46.56,1.10,9.04
2/16/2001,1.54,46.54,1.09,8.96
2/19/2001,1.53,46.54,1.09,8.92
2/20/2001,1.54,46.62,1.10,9.00
2/21/2001,1.54,46.62,1.10,9.05
2/22/2001,1.54,46.57,1.11,9.11
2/23/2001,1.54,46.61,1.09,8.97
2/26/2001,1.53,46.64,1.10,9.03
2/27/2001,1.53,46.66,1.09,8.97
2/28/2001,1.54,46.55,1.08,8.91
3/1/2001,1.55,46.56,1.07,8.83
3/2/2001,1.54,46.55,1.07,8.79
3/5/2001,1.55,46.52,1.08,8.86
3/6/2001,1.54,46.52,1.07,8.78
3/7/2001,1.55,46.54,1.08,8.85
3/8/2001,1.55,46.53,1.07,8.79
3/9/2001,1.55,46.54,1.07,8.79
3/12/2001,1.55,46.57,1.08,8.86
3/13/2001,1.54,46.66,1.09,8.98
3/14/2001,1.56,46.66,1.10,8.98
3/15/2001,1.56,46.64,1.11,9.13
3/16/2001,1.57,46.71,1.11,9.09
3/19/2001,1.57,46.70,1.11,9.02
3/20/2001,1.57,46.71,1.10,8.94
3/21/2001,1.57,46.69,1.12,9.06
3/22/2001,1.57,46.70,1.12,9.10
3/23/2001,1.56,46.70,1.12,9.09
3/26/2001,1.56,46.65,1.12,9.04
3/27/2001,1.57,46.62,1.12,9.05
3/28/2001,1.57,46.62,1.13,9.14
3/29/2001,1.57,46.63,1.13,9.08
3/30/2001,1.58,46.62,1.14,9.17
4/2/2001,1.58,46.64,1.14,9.16
4/3/2001,1.58,46.63,1.11,9.06
4/4/2001,1.57,46.60,1.11,9.08
4/5/2001,1.57,46.57,1.12,9.06
4/6/2001,1.56,46.56,1.11,8.97
4/9/2001,1.56,46.56,1.12,9.07
4/10/2001,1.56,46.56,1.13,9.08
4/11/2001,1.56,46.70,1.13,9.09
4/12/2001,1.56,46.84,1.12,9.10
4/13/2001,1.56,46.85,1.13,9.14
4/16/2001,1.56,47.02,1.12,9.13
4/17/2001,1.56,46.86,1.13,9.12
4/18/2001,1.56,46.86,1.13,9.13
4/19/2001,1.55,46.85,1.11,9.01
4/20/2001,1.55,46.83,1.11,9.02
4/23/2001,1.55,46.82,1.12,9.07
4/24/2001,1.55,46.82,1.12,9.11
4/25/2001,1.55,46.85,1.11,9.11
4/26/2001,1.54,46.85,1.11,9.03
4/27/2001,1.54,46.85,1.12,9.09
4/30/2001,1.54,46.83,1.12,9.10
5/1/2001,1.53,46.82,1.12,9.05
5/2/2001,1.53,46.83,1.12,9.05
5/3/2001,1.53,46.83,1.12,9.08
5/4/2001,1.54,46.83,1.12,9.05
5/7/2001,1.54,46.83,1.12,9.06
5/8/2001,1.54,46.83,1.13,9.07
5/9/2001,1.54,46.83,1.13,9.09
5/10/2001,1.54,46.86,1.13,9.14
5/11/2001,1.55,46.89,1.14,9.16
5/14/2001,1.55,46.98,1.14,9.16
5/15/2001,1.55,47.01,1.14,9.13
5/16/2001,1.54,46.98,1.13,9.07
5/17/2001,1.54,46.96,1.13,9.07
5/18/2001,1.53,46.94,1.13,9.05
5/21/2001,1.54,46.98,1.14,9.06
5/22/2001,1.54,47.02,1.16,9.17
5/23/2001,1.55,46.98,1.17,9.28
5/24/2001,1.55,46.98,1.17,9.23
5/25/2001,1.55,46.98,1.16,9.17
5/28/2001,1.54,46.98,1.16,9.19
5/29/2001,1.53,46.96,1.17,9.25
5/30/2001,1.54,46.97,1.17,9.24
5/31/2001,1.54,47.00,1.18,9.37
6/1/2001,1.54,47.02,1.18,9.46
6/4/2001,1.54,47.02,1.18,9.43
6/5/2001,1.53,47.00,1.17,9.31
6/6/2001,1.52,46.98,1.18,9.37
6/7/2001,1.52,46.97,1.18,9.37
6/8/2001,1.52,46.98,1.18,9.36
6/11/2001,1.52,47.00,1.19,9.43
6/12/2001,1.52,47.03,1.17,9.37
6/13/2001,1.52,47.04,1.17,9.32
6/14/2001,1.52,46.98,1.16,9.26
6/15/2001,1.52,47.00,1.16,9.25
6/18/2001,1.53,46.97,1.16,9.18
6/19/2001,1.53,46.95,1.17,9.15
6/20/2001,1.53,46.96,1.17,9.21
6/21/2001,1.52,46.97,1.17,9.21
6/22/2001,1.52,47.00,1.17,9.20
6/25/2001,1.52,47.01,1.16,9.23
6/26/2001,1.52,47.02,1.16,9.15
6/27/2001,1.52,46.99,1.16,9.20
6/28/2001,1.52,47.01,1.18,9.31
6/29/2001,1.51,47.04,1.18,9.32
7/2/2001,1.51,47.13,1.18,9.41
7/3/2001,1.51,47.14,1.18,9.35
7/4/2001,1.51,47.11,1.18,9.37
7/5/2001,1.51,47.13,1.20,9.43
